887;KZObmen;;0;120893
898;Вобменка;;0;236833
906;CryptoHonest;;0;16196128
908;ExchangeMoscow;041418798961;490;340608
901;WMStar;310224582545;553;192108
899;CoinShop24;;0;33043933
900;Obmen-Box;;0;0
896;CoinChanger;;0;65762
910;WMT;797230232341;196;14145
909;CrypTorg;;0;71299
915;CoinGuru;;0;4687089
914;Ex-code;;0;0
913;Qiwex;;0;188354
917;Micro-exchange;;0;4133702
916;Cryptos;;0;443685
925;Sunduk;;0;258636
918;КриптоРай;;0;0
939;EuroBit;;0;1851024
935;Wiki-Exchange;;0;3499392
920;VIP-Obmen;552557541159;517;2908952
922;PayWallet;;0;7344
923;HD-Change;;0;37196
943;TopCash;;0;221153
928;CriptoMoney24;;0;196331
927;Msk-Exchange;;0;109420714
933;TytCash;;0;107633
932;VIP-Money;737486336915;539;433146
929;RoyalCash;;0;66431732
930;Crypto-Store;;0;97433
942;ExHub;;0;2865576
940;GetCoins;;0;12759
944;EExchanger;330964771407;283;18439
947;Dynasty-Pay;;0;0
949;Coco-Pay;;0;5085359
948;AbcObmen;;0;11060578
951;PrideChange;;0;3359905
950;UAchanger;;0;25443
952;ExLine;;0;2198
954;EggChange;;0;3213023
961;MyBTC;;0;11189533
960;Crybex;;0;123564
959;ExchangeKey;;0;32439676
953;Livex;;0;5469
956;Обменко;;0;731735
958;24Zone;;0;14830967
962;StyleBTC;;0;213906
963;Global-Ex;;0;15432
955;AlfaBit;;0;1147338
966;BlaBlaChange;;0;3187278
964;ExBase;;0;278108
965;Crypto-Express;;0;2184
967;КриптоОбмен;;0;732683
971;CryptoSell;;0;2694
968;CryptoMax;;0;8377594
973;Number1;;0;174732
969;4Money;;0;7995887
970;AlfaChange;;0;16164849
972;BigPay;865127628943;274;2753
974;BestKurs24;;0;0
975;PremierCash;;0;188400
